"county","fips","st","pct_report","total_votes","lead","state_name","Donald_Trump","Hillary_Clinton"
"Jenkins","13165","GA","1.0","3034","Donald Trump","Georgia","1892","1108"
"Gentry","29075","MO","1.0","3033","Donald Trump","Missouri","2304","605"
"Reynolds","29179","MO","1.0","3032","Donald Trump","Missouri","2402","540"
"Lee","5077","AR","1.0","3020","Hillary Clinton","Arkansas","1229","1735"
"Taylor","19173","IA","1.0","3003","Donald Trump","Iowa","2108","755"
"Lincoln","27081","MN","1.0","3002","Donald Trump","Minnesota","1930","860"
"Ochiltree","48357","TX","1.0","2981","Donald Trump","Texas","2628","274"
"Bon Homme","46009","SD","1.0","2974","Donald Trump","South Dakota","2105","704"
"Wilcox","13315","GA","1.0","2973","Donald Trump","Georgia","2096","852"
"Clay","31035","NE","1.0","2973","Donald Trump","Nebraska","2373","470"
"Howard","31093","NE","1.0","2958","Donald Trump","Nebraska","2284","544"
"Clay","54015","WV","1.0","2958","Donald Trump","West Virginia","2289","566"
"Webster","54101","WV","1.0","2955","Donald Trump","West Virginia","2284","554"
"Claiborne","28021","MS","1.0","2954","Hillary Clinton","Mississippi","414","2523"
"Spink","46115","SD","1.0","2951","Donald Trump","South Dakota","1854","919"
"Carson","48065","TX","1.0","2945","Donald Trump","Texas","2617","249"
"Refugio","48391","TX","1.0","2945","Donald Trump","Texas","1830","1034"
"East Carroll Parish","22035","LA","1.0","2939","Hillary Clinton","Louisiana","1059","1838"
"Moody","46101","SD","1.0","2930","Donald Trump","South Dakota","1729","1042"
"Bear Lake","16007","ID","1.0","2928","Donald Trump","Idaho","2203","255"
"Moore","47127","TN","1.0","2926","Donald Trump","Tennessee","2325","496"
"Wayne","19185","IA","1.0","2921","Donald Trump","Iowa","2069","719"
"Clay","47027","TN","1.0","2919","Donald Trump","Tennessee","2140","707"
"Ohio","18115","IN","1.0","2917","Donald Trump","Indiana","2118","686"
"Randolph","13243","GA","1.0","2895","Hillary Clinton","Georgia","1270","1597"
"Fillmore","31059","NE","1.0","2879","Donald Trump","Nebraska","2100","610"
"Boone","31011","NE","1.0","2867","Donald Trump","Nebraska","2299","414"
"Ottawa","20143","KS","1.0","2866","Donald Trump","Kansas","2261","424"
"Lanier","13173","GA","1.0","2861","Donald Trump","Georgia","1984","805"
"Elliott","21063","KY","1.0","2855","Donald Trump","Kentucky","2000","740"
"Perry","47135","TN","1.0","2855","Donald Trump","Tennessee","2167","597"
"Lafayette","5073","AR","1.0","2846","Donald Trump","Arkansas","1750","1028"
"Carter","29035","MO","1.0","2842","Donald Trump","Missouri","2323","436"
"Nicholas","21181","KY","1.0","2840","Donald Trump","Kentucky","1957","787"
"Doddridge","54017","WV","1.0","2826","Donald Trump","West Virginia","2347","360"
"Mitchell","20123","KS","1.0","2824","Donald Trump","Kansas","2216","469"
"Alexander","17003","IL","1.0","2820","Donald Trump","Illinois","1496","1262"
"Parmer","48369","TX","1.0","2818","Donald Trump","Texas","1911","848"
"Greenwood","20073","KS","1.0","2811","Donald Trump","Kansas","2146","484"
"Craig","51045","VA","1.0","2784","Donald Trump","Virginia","2139","541"
"Menifee","21165","KY","1.0","2780","Donald Trump","Kentucky","2010","700"
"Monroe","5095","AR","1.0","2778","Donald Trump","Arkansas","1400","1298"
"Powell","30077","MT","1.0","2778","Donald Trump","Montana","2017","549"
"Dallas","5039","AR","1.0","2769","Donald Trump","Arkansas","1507","1165"
"Hamlin","46057","SD","1.0","2762","Donald Trump","South Dakota","2051","555"
"Power","16077","ID","1.0","2758","Donald Trump","Idaho","1666","699"
"Stanton","31167","NE","1.0","2748","Donald Trump","Nebraska","2173","417"
"Day","46037","SD","1.0","2747","Donald Trump","South Dakota","1627","974"
"Dixon","31051","NE","1.0","2744","Donald Trump","Nebraska","2041","556"
"Big Stone","27011","MN","1.0","2729","Donald Trump","Minnesota","1607","921"
"Atchison","29005","MO","1.0","2723","Donald Trump","Missouri","2059","541"
"Washington","8121","CO","1.0","2708","Donald Trump","Colorado","2284","289"
"Saguache","8109","CO","1.0","2707","Hillary Clinton","Colorado","1109","1345"
"Stark","17175","IL","1.0","2707","Donald Trump","Illinois","1777","748"
"Tillman","40141","OK","1.0","2706","Donald Trump","Oklahoma","1944","657"
"Essex","50009","VT","1.0","2706","Donald Trump","Vermont","1506","1019"
"Pondera","30073","MT","1.0","2702","Donald Trump","Montana","1786","737"
"Treutlen","13283","GA","1.0","2700","Donald Trump","Georgia","1808","860"
"Gallatin","17059","IL","1.0","2691","Donald Trump","Illinois","1942","656"
"Hamilton","36041","NY","1.0","2688","Donald Trump","New York","1795","752"
"McHenry","38049","ND","1.0","2687","Donald Trump","North Dakota","1991","474"
"Ringgold","19159","IA","1.0","2684","Donald Trump","Iowa","1820","753"
"Frio","48163","TX","1.0","2683","Hillary Clinton","Texas","1232","1401"
"Washington","20201","KS","1.0","2677","Donald Trump","Kansas","2136","378"
"Lee","21129","KY","1.0","2667","Donald Trump","Kentucky","2151","444"
"Florence","55037","WI","1.0","2651","Donald Trump","Wisconsin","1897","666"
"Blaine","30005","MT","1.0","2645","Donald Trump","Montana","1259","1187"
"Wolfe","21237","KY","1.0","2635","Donald Trump","Kentucky","1804","753"
"Tripp","46123","SD","1.0","2630","Donald Trump","South Dakota","2069","462"
"Ellsworth","20053","KS","1.0","2626","Donald Trump","Kansas","1933","515"
"Thayer","31169","NE","1.0","2613","Donald Trump","Nebraska","1993","490"
"Phillips","20147","KS","1.0","2611","Donald Trump","Kansas","2200","296"
"Pickett","47137","TN","1.0","2609","Donald Trump","Tennessee","2019","536"
"Atkinson","13003","GA","1.0","2604","Donald Trump","Georgia","1873","696"
"Calhoun","54013","WV","1.0","2604","Donald Trump","West Virginia","2023","456"
"Pawnee","20145","KS","1.0","2602","Donald Trump","Kansas","1872","567"
"Cotton","40033","OK","1.0","2602","Donald Trump","Oklahoma","2054","424"
"Carlisle","21039","KY","1.0","2601","Donald Trump","Kentucky","2094","432"
"Brooks","48047","TX","1.0","2596","Hillary Clinton","Texas","613","1937"
"McCook","46087","SD","1.0","2587","Donald Trump","South Dakota","1794","623"
"Scott","17171","IL","1.0","2583","Donald Trump","Illinois","1965","528"
"Chouteau","30015","MT","1.0","2581","Donald Trump","Montana","1676","729"
"Luce","26095","MI","1.0","2576","Donald Trump","Michigan","1756","681"
"Morris","20127","KS","1.0","2568","Donald Trump","Kansas","1790","586"
"Woodruff","5147","AR","1.0","2566","Donald Trump","Arkansas","1344","1117"
"Sheridan","31161","NE","1.0","2565","Donald Trump","Nebraska","2192","286"
"Storey","32029","NV","1.0","2558","Donald Trump","Nevada","1616","752"
"Calhoun","17013","IL","1.0","2556","Donald Trump","Illinois","1719","739"
"Kingsbury","46077","SD","1.0","2551","Donald Trump","South Dakota","1680","703"
"Tensas Parish","22107","LA","1.0","2543","Hillary Clinton","Louisiana","1180","1329"
"Miller","13201","GA","1.0","2540","Donald Trump","Georgia","1888","622"
"Polk","31143","NE","1.0","2538","Donald Trump","Nebraska","2019","411"
"Sherman","20181","KS","1.0","2537","Donald Trump","Kansas","2043","340"
"Hot Springs","56017","WY","1.0","2535","Donald Trump","Wyoming","1939","400"
"Gilmer","54021","WV","1.0","2528","Donald Trump","West Virginia","1889","537"
"Harper","20077","KS","1.0","2513","Donald Trump","Kansas","1950","388"
"Beaver","49001","UT","1.0","2490","Donald Trump","Utah","1838","264"
"Republic","20157","KS","1.0","2484","Donald Trump","Kansas","1993","370"
"Sullivan","29211","MO","1.0","2484","Donald Trump","Missouri","1884","526"
"Walworth","46129","SD","1.0","2477","Donald Trump","South Dakota","1896","457"
"Pulaski","17153","IL","1.0","2473","Donald Trump","Illinois","1583","817"
"Lexington city","51678","VA","1.0","2448","Hillary Clinton","Virginia","766","1514"
"Clinch","13065","GA","1.0","2443","Donald Trump","Georgia","1724","685"
"Mora","35033","NM","1.0","2434","Hillary Clinton","New Mexico","662","1533"
"Van Buren","47175","TN","1.0","2417","Donald Trump","Tennessee","1820","539"
"Custer","16037","ID","1.0","2413","Donald Trump","Idaho","1777","427"
"Lander","32015","NV","1.0","2413","Donald Trump","Nevada","1828","403"
"Wirt","54105","WV","1.0","2410","Donald Trump","West Virginia","1903","383"
"Musselshell","30065","MT","1.0","2409","Donald Trump","Montana","1961","331"
"Lincoln","8073","CO","1.0","2402","Donald Trump","Colorado","1873","399"
"Forest","42053","PA","1.0","2398","Donald Trump","Pennsylvania","1680","626"
"Buena Vista city","51530","VA","1.0","2395","Donald Trump","Virginia","1432","693"
"Coal","40029","OK","1.0","2393","Donald Trump","Oklahoma","1892","411"
"Fulton","21075","KY","1.0","2382","Donald Trump","Kentucky","1549","774"
"Rooks","20163","KS","1.0","2378","Donald Trump","Kansas","1999","273"
"Dickey","38021","ND","1.0","2372","Donald Trump","North Dakota","1656","551"
"Covington city","51580","VA","1.0","2369","Donald Trump","Virginia","1349","914"
"Emporia city","51595","VA","1.0","2367","Hillary Clinton","Virginia","792","1531"
"Kittson","27069","MN","1.0","2363","Donald Trump","Minnesota","1349","823"
"Galax city","51640","VA","1.0","2363","Donald Trump","Virginia","1603","680"
"San Saba","48411","TX","1.0","2354","Donald Trump","Texas","2025","293"
"Wells","38103","ND","1.0","2352","Donald Trump","North Dakota","1793","419"
"Holt","29087","MO","1.0","2348","Donald Trump","Missouri","1926","346"
"Jefferson","40067","OK","1.0","2345","Donald Trump","Oklahoma","1905","365"
"Putnam","29171","MO","1.0","2342","Donald Trump","Missouri","1936","352"
"Brown","17009","IL","1.0","2336","Donald Trump","Illinois","1776","475"
"Wahkiakum","53069","WA","1.0","2333","Donald Trump","Washington","1328","824"
"Phillips","8095","CO","1.0","2332","Donald Trump","Colorado","1791","436"
"Warren","13301","GA","1.0","2332","Hillary Clinton","Georgia","991","1313"
"Ransom","38073","ND","1.0","2317","Donald Trump","North Dakota","1209","836"
"Furnas","31065","NE","1.0","2315","Donald Trump","Nebraska","1915","304"
"Grant","20067","KS","1.0","2311","Donald Trump","Kansas","1755","427"
"Wheeler","48483","TX","1.0","2306","Donald Trump","Texas","2087","194"
"Yoakum","48501","TX","1.0","2299","Donald Trump","Texas","1797","426"
"Garfield","49017","UT","1.0","2294","Donald Trump","Utah","1577","352"
"Brule","46015","SD","1.0","2288","Donald Trump","South Dakota","1565","571"
"Delta","48119","TX","1.0","2279","Donald Trump","Texas","1836","400"
"Hyde","37095","NC","1.0","2273","Donald Trump","North Carolina","1275","956"
"Calhoun","5013","AR","1.0","2264","Donald Trump","Arkansas","1554","636"
"Alfalfa","40003","OK","1.0","2256","Donald Trump","Oklahoma","1931","216"
"Dewey","40043","OK","1.0","2246","Donald Trump","Oklahoma","1964","222"
"Bath","51017","VA","1.0","2243","Donald Trump","Virginia","1548","603"
"Mills","48333","TX","1.0","2238","Donald Trump","Texas","1949","242"
"Beaver","40007","OK","1.0","2237","Donald Trump","Oklahoma","1987","176"
"Lake of the Woods","27077","MN","1.0","2230","Donald Trump","Minnesota","1540","553"
"Hancock","47067","TN","1.0","2229","Donald Trump","Tennessee","1842","322"
"Barber","20007","KS","1.0","2209","Donald Trump","Kansas","1822","281"
"Presidio","48377","TX","1.0","2203","Hillary Clinton","Texas","652","1458"
