year,count,name,percentage,total_per_year
1950,1226,Guy,0.00036798097304254233,3331694
1950,1223,Vicky,0.00036708053020475471,3331694
1950,1222,Claude,0.00036678038259215884,3331694
1950,1218,Kent,0.00036557979214177534,3331694
1950,1218,Becky,0.00036557979214177534,3331694
1950,1199,Jeffery,0.00035987698750245369,3331694
1950,1198,Mitchell,0.00035957683988985782,3331694
1950,1198,Kristine,0.00035957683988985782,3331694
1950,1198,Nathaniel,0.00035957683988985782,3331694
1950,1185,Maurice,0.00035567492092611146,3331694
1950,1178,Roland,0.00035357388763794035,3331694
1950,1171,Carlos,0.00035147285434976923,3331694
1950,1166,Stuart,0.00034997211628678987,3331694
1950,1156,Amy,0.00034697064016083108,3331694
1950,1154,Ida,0.00034637034493563933,3331694
1950,1149,Lisa,0.00034486960687265996,3331694
1950,1145,Debbie,0.00034366901642227647,3331694
1950,1143,Hazel,0.00034306872119708472,3331694
1950,1137,Melinda,0.00034126783552150948,3331694
1950,1136,Fredrick,0.00034096768790891361,3331694
1950,1124,Alexander,0.00033736591655776312,3331694
1950,1122,Gerard,0.00033676562133257138,3331694
1950,1103,Lydia,0.00033106281669324973,3331694
1950,1094,Nora,0.00032836148817988686,3331694
1950,1089,Rosie,0.0003268607501169075,3331694
1950,1084,Stella,0.00032536001205392813,3331694
1950,1084,Terri,0.00032536001205392813,3331694
1950,1084,Sidney,0.00032536001205392813,3331694
1950,1081,Francine,0.00032445956921614051,3331694
1950,1080,Vera,0.00032415942160354464,3331694
1950,1076,Perry,0.00032295883115316114,3331694
1950,1068,Mona,0.00032055765025239415,3331694
1950,1065,Marshall,0.00031965720741460648,3331694
1950,1065,Oscar,0.00031965720741460648,3331694
1950,1059,Daryl,0.00031785632173903124,3331694
1950,1045,Rex,0.000313654255162689,3331694
1950,1045,Wallace,0.000313654255162689,3331694
1950,1021,Frankie,0.00030645071246038804,3331694
1950,1015,Monica,0.00030464982678481275,3331694
1950,1013,Alma,0.000304049531559621,3331694
1950,1010,Melanie,0.00030314908872183338,3331694
1950,1008,Ramona,0.00030254879349664163,3331694
1950,1004,Myra,0.00030134820304625814,3331694
1950,999,Bernadette,0.00029984746498327877,3331694
1950,998,Claire,0.0002995473173706829,3331694
1950,995,Kim,0.00029864687453289528,3331694
1950,993,Kirk,0.00029804657930770353,3331694
1950,990,Nina,0.00029714613646991591,3331694
1950,989,Ruben,0.00029684598885732004,3331694
