"id","first_name","last_name","party","seniority","state","missed_votes_pct","votes_with_party_pct","congress"
"P000009","Robert","Packwood","R",25,"OR",2.75,75.5,103
"P000193","Claiborne","Pell","D",33,"RI",1.38,91.06,103
"P000513","Larry","Pressler","R",15,"SD",2.07,86.92,103
"P000556","David","Pryor","D",15,"AR",6.89,88.61,103
"R000146","Harry","Reid","D",7,"NV",1.93,87.92,103
"R000249","Donald","Riegle","D",19,"MI",3.72,93.13,103
"R000295","Charles","Robb","D",5,"VA",0.69,86.69,103
"R000361","John","Rockefeller IV","D",9,"WV",3.44,92.15,103
"R000460","William","Roth Jr.","R",23,"DE",0.96,76.91,103
"S000064","Paul","Sarbanes","D",17,"MD",0.28,95.44,103
"S000068","James","Sasser","D",17,"TN",1.1,84.82,103
"S000320","Richard","Shelby","D",7,"AL",8.82,60.12,103
"S000320","Richard","Shelby","R",7,"AL",0,0,103
"S000423","Paul","Simon","D",9,"IL",1.52,87.83,103
"S000429","Alan","Simpson","R",15,"WY",3.86,89.54,103
"S000606","Bob","Smith","R",3,"NH",1.52,83.5,103
"S000709","Arlen","Specter","R",13,"PA",9.09,69.7,103
"S000888","Ted","Stevens","R",25,"AK",4.55,83.12,103
"T000254","Strom","Thurmond","R",38,"SC",2.07,91,103
"T000457","Fred","Thompson","R",1,"TN",0,0,103
"W000092","Malcolm","Wallop","R",17,"WY",8.54,83.28,103
"W000154","John","Warner","R",15,"VA",2.34,82.65,103
"W000288","Paul","Wellstone","D",3,"MN",0.96,86.09,103
"W000665","Harris","Wofford","D",2,"PA",1.93,90.03,103
"A000069","Daniel","Akaka","D",5,"HI",1.31,92.26,104
"A000355","Spencer","Abraham","R",1,"MI",0,92.58,104
"A000356","John","Ashcroft","R",1,"MO",1.53,92.79,104
"B000243","Max","Baucus","D",17,"MT",0.76,74.92,104
"B000382","Robert","Bennett","R",3,"UT",3.17,93.8,104
"B000444","Joseph","Biden Jr.","D",23,"DE",2.73,84.06,104
"B000468","Jeff","Bingaman","D",13,"NM",0.87,84.36,104
"B000611","Christopher","Bond","R",9,"MO",2.62,91.48,104
"B000711","Barbara","Boxer","D",3,"CA",1.75,89.44,104
"B000780","John","Breaux","D",9,"LA",0.87,77.97,104
"B000919","Hank","Brown","R",5,"CO",0,86.03,104
"B000953","Sam","Brownback","R",1,"KS",0,0,104
"B000993","Richard","Bryan","D",7,"NV",0.22,82.06,104
"B001057","Dale","Bumpers","D",21,"AR",4.26,89.85,104
"B001126","Conrad","Burns","R",7,"MT",0.22,94.2,104
"B001210","Robert","Byrd","D",37,"WV",0,81.33,104
"B001225","William","Bradley","D",17,"NJ",8.73,85.89,104
"C000077","Ben","Campbell","D",3,"CO",2.06,58.95,104
"C000077","Ben","Campbell","R",3,"CO",4.15,84.2,104
"C000269","John","Chafee","R",19,"RI",0.66,77.47,104
"C000542","Daniel","Coats","R",7,"IN",1.53,93.68,104
"C000567","Thad","Cochran","R",17,"MS",2.4,92.28,104
"C000598","William","Cohen","R",17,"ME",2.18,73.88,104
"C000705","Kent","Conrad","D",9,"ND",1.64,86.68,104
"C000813","Paul","Coverdell","R",3,"GA",0.33,95.73,104
"C000858","Larry","Craig","R",5,"ID",0,95.41,104
"D000018","Alfonse","D&#x27;Amato","R",15,"NY",1.42,89.7,104
"D000064","Thomas","Daschle","D",9,"SD",0.22,91.25,104
"D000294","Michael","DeWine","R",1,"OH",0.22,88.73,104
"D000388","Christopher","Dodd","D",15,"CT",0.76,86.8,104
"D000401","Robert","Dole","R",27,"KS",1.95,95.37,104
"D000407","Pete","Domenici","R",23,"NM",2.07,92.64,104
"D000432","Byron","Dorgan","D",3,"ND",1.09,86.42,104
"E000284","J. James","Exon","D",17,"NE",2.4,80.31,104
"F000061","Russ","Feingold","D",3,"WI",0.11,82.95,104
"F000062","Dianne","Feinstein","D",3,"CA",0.66,82.31,104
"F000268","Wendell","Ford","D",21,"KY",0.33,83.13,104
"F000437","Lauch","Faircloth","R",3,"NC",3.17,90.42,104
"F000438","Sheila","Frahm","R",1,"KS",4.83,92.75,104
"F000439","William","Frist","R",1,"TN",0.76,95.16,104
"G000236","John","Glenn Jr.","D",21,"OH",1.42,87.15,104
"G000333","Slade","Gorton","R",13,"WA",0.11,88.52,104
"G000352","Bob","Graham","D",9,"FL",0.44,83.11,104
"G000365","Phil","Gramm","R",11,"TX",9.5,93,104
"G000367","Rod","Grams","R",1,"MN",1.53,93.02,104
"G000386","Charles","Grassley","R",15,"IA",0,90.5,104
"G000445","Judd","Gregg","R",3,"NH",1.75,91,104
